Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
1.0,Aceh,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.0,3572,0
2.0,Bali,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,2.0,3573,0
3.0,Banten,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.0,3574,0
4.0,Kepulauan Bangka Belitung,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,4.0,3575,0
5.0,Bengkulu,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,5.0,3576,0
6.0,Daerah Istimewa Yogyakarta,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,6.0,3577,0
7.0,DKI Jakarta,2020/03/02 00:00:00+00,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00000,0.00000,7.0,3578,0
8.0,Jambi,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,8.0,3579,0
9.0,Jawa Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,9.0,3580,0
10.0,Jawa Tengah,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,10.0,3581,0
11.0,Jawa Timur,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,11.0,3582,0
12.0,Kalimantan Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,12.0,3583,0
13.0,Kalimantan Timur,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,13.0,3584,0
14.0,Kalimantan Tengah,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,14.0,3585,0
15.0,Kalimantan Selatan,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,15.0,3586,0
16.0,Kalimantan Utara,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,16.0,3587,0
17.0,Kepulauan Riau,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,17.0,3588,0
18.0,Nusa Tenggara Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,18.0,3589,0
19.0,Sumatera Selatan,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,19.0,3590,0
20.0,Sumatera Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,20.0,3591,0
21.0,Sulawesi Utara,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,21.0,3592,0
22.0,Sumatera Utara,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,22.0,3593,0
23.0,Sulawesi Tenggara,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,23.0,3594,0
24.0,Sulawesi Selatan,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,24.0,3595,0
25.0,Sulawesi Tengah,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,25.0,3596,0
26.0,Lampung,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,26.0,3597,0
27.0,Riau,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,27.0,3598,0
28.0,Maluku Utara,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,28.0,3599,0
29.0,Maluku,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,29.0,3600,0
30.0,Papua Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,30.0,3601,0
31.0,Papua,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,31.0,3602,0
32.0,Sulawesi Barat,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,32.0,3603,0
33.0,Nusa Tenggara Timur,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,33.0,3604,0
34.0,Gorontalo,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,34.0,3605,0
35.0,Indonesia,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,35.0,3606,0
36.0,Aceh,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,36.0,3607,0
37.0,Bali,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,37.0,3608,0
